      0.0000000000      0.0000000000      1.0000000000      0.0000000000      0.0000000000      1.0000000000
      0.0125000000     40.1591451837      0.9999936267      0.0000000003      0.0000063731      1.0000000000
      0.0250000000     78.2937961400      0.9999008433      0.0000000617      0.0000990950      1.0000000000
      0.0375000000    112.4815170110      0.9995210700      0.0000014470      0.0004774830      1.0000000000
      0.0500000000    140.9988437329      0.9985846047      0.0000127280      0.0014026673      1.0000000000
      0.0625000000    162.4081669378      0.9968364510      0.0000641924      0.0030993566      1.0000000000
      0.0750000000    175.6302044088      0.9941257949      0.0002240149      0.0056501902      1.0000000000
      0.0875000000    179.9984096242      0.9904746483      0.0005977424      0.0089276093      1.0000000000
      0.1000000000    175.2925735581      0.9861019005      0.0012945185      0.0126035810      1.0000000000
      0.1125000000    161.7499258105      0.9813927808      0.0023655265      0.0162416927      1.0000000000
      0.1250000000    140.0531754398      0.9768232985      0.0037469864      0.0194297151      1.0000000000
      0.1375000000    111.2960943795      0.9728643153      0.0052463390      0.0218893457      1.0000000000
      0.1500000000     76.9283784421      0.9698927126      0.0065875034      0.0235197841      1.0000000000
      0.1625000000     38.6825655639      0.9681280939      0.0074974984      0.0243744077      1.0000000000
      0.1750000000     -1.5133045261      0.9676003155      0.0077976427      0.0246020419      1.0000000000
      0.1875000000    -41.6328862324      0.9681444254      0.0074665433      0.0243890313      1.0000000000
      0.2000000000    -79.6536797931      0.9694188716      0.0066587022      0.0239224262      1.0000000000
      0.2125000000   -113.6589891049      0.9709471614      0.0056779827      0.0233748559      1.0000000000
      0.2250000000   -141.9345457967      0.9721859365      0.0049142818      0.0228997818      1.0000000000
      0.2375000000   -163.0549285594      0.9726180929      0.0047570988      0.0226248083      1.0000000000
      0.2500000000   -175.9554211797      0.9718578369      0.0055041370      0.0226380260      1.0000000000
      0.2625000000   -179.9856867863      0.9697417938      0.0072857886      0.0229724176      1.0000000000
      0.2750000000   -174.9425524923      0.9663762815      0.0100245991      0.0235991194      1.0000000000
      0.2875000000   -161.0802517040      0.9621217471      0.0134412696      0.0244369833      1.0000000000
      0.3000000000   -139.0976077601      0.9575176952      0.0171069184      0.0253753865      1.0000000000
      0.3125000000   -110.1028049999      0.9531732058      0.0205288802      0.0262979140      1.0000000000
      0.3250000000    -75.5575232112      0.9496571133      0.0232489484      0.0270939383      1.0000000000
      0.3375000000    -37.2032517421      0.9474145188      0.0249320611      0.0276534202      1.0000000000
      0.3500000000      0.0000000000      0.9467193843      0.0254291858      0.0278514300      1.0000000000
      0.3625000000      0.0000000000      0.9467193843      0.0254291858      0.0278514300      1.0000000000
      0.3750000000      0.0000000000      0.9467193843      0.0254291858      0.0278514300      1.0000000000
