      0.0000000000      0.0000000000      1.0000000000      0.0000000000      0.0000000000      0.0000000000      0.0000000000      0.0000000000
      0.0125000000      0.0252058929      1.0000000000     -0.0000000005     -0.0000000001     -0.0000000022     -0.0000071359     -0.0000004041
      0.0250000000      0.0995528976      0.9999999975     -0.0000000363     -0.0000000121     -0.0000001807     -0.0000700047     -0.0000111757
      0.0375000000      0.2192930489      0.9999999701     -0.0000003028     -0.0000001436     -0.0000015060     -0.0002372893     -0.0000597892
      0.0500000000      0.3783900317      0.9999998341     -0.0000012689     -0.0000007948     -0.0000063134     -0.0005443790     -0.0001881606
      0.0625000000      0.5688234832      0.9999993911     -0.0000037115     -0.0000029171     -0.0000184730     -0.0010086491     -0.0004473054
      0.0750000000      0.7809933129      0.9999982790     -0.0000086511     -0.0000082469     -0.0000430770     -0.0016268005     -0.0008907420
      0.0875000000      1.0042036608      0.9999959483     -0.0000171963     -0.0000194262     -0.0000856721     -0.0023745711     -0.0015673927
      0.1000000000      1.2272020947      0.9999916768     -0.0000303240     -0.0000399353     -0.0001511704     -0.0032088606     -0.0025147925
      0.1125000000      1.4387468652      0.9999846318     -0.0000486397     -0.0000738018     -0.0002426602     -0.0040720451     -0.0037533826
      0.1250000000      1.6281736227      0.9999739764     -0.0000721710     -0.0001250980     -0.0003603731     -0.0048980139     -0.0052825517
      0.1375000000      1.7859330261      0.9999590057     -0.0001002414     -0.0001972868     -0.0005010502     -0.0056192607     -0.0070788973
      0.1500000000      1.9040721420      0.9999392925     -0.0001314621     -0.0002925233     -0.0006578840     -0.0061742343     -0.0090969437
      0.1625000000      1.9766353667      0.9999148125     -0.0001638532     -0.0004110412     -0.0008211053     -0.0065141093     -0.0112722734
      0.1750000000      1.9999646585      0.9998860228     -0.0001950840     -0.0005507594     -0.0009791561     -0.0066081916     -0.0135267546
      0.1875000000      1.9728839460      0.9998538730     -0.0002227936     -0.0007072090     -0.0011202702     -0.0064473252     -0.0157752952
      0.2000000000      1.8967584163      0.9998197370     -0.0002449379     -0.0008738359     -0.0012341911     -0.0060448964     -0.0179333733
      0.2125000000      1.7754256934      0.9997852725     -0.0002601005     -0.0010426588     -0.0013137203     -0.0054353241     -0.0199244932
      0.2250000000      1.6150023765      0.9997522254     -0.0002677093     -0.0012051949     -0.0013558070     -0.0046702228     -0.0216867334
      0.2375000000      1.4235756915      0.9997222116     -0.0002681163     -0.0013535094     -0.0013619703     -0.0038127021     -0.0231776618
      0.2500000000      1.2107957994      0.9996965121     -0.0002625245     -0.0014812153     -0.0013379648     -0.0029304753     -0.0243770974
      0.2625000000      0.9873893147      0.9996759164     -0.0002527716     -0.0015842523     -0.0012927389     -0.0020885750     -0.0252874488
      0.2750000000      0.7646185570      0.9996606423     -0.0002410102     -0.0016613104     -0.0012368687     -0.0013424942     -0.0259316410
      0.2875000000      0.5537137983      0.9996503463     -0.0002293396     -0.0017138222     -0.0011807483     -0.0007325080     -0.0263489032
      0.3000000000      0.3653071241      0.9996442230     -0.0002194584     -0.0017455210     -0.0011328624     -0.0002797823     -0.0265889213
      0.3125000000      0.2088964511      0.9996411787     -0.0002123991     -0.0017616358     -0.0010984573      0.0000153253     -0.0267050289
      0.3250000000      0.0923667209      0.9996400474     -0.0002083944     -0.0017678578     -0.0010788498      0.0001726108     -0.0267472078
      0.3375000000      0.0215924052      0.9996398149     -0.0002068991     -0.0017692519     -0.0010714986      0.0002291046     -0.0267556886
      0.3500000000      0.0000000000      0.9996398094     -0.0002067610     -0.0017693023     -0.0010708174      0.0002342255     -0.0267558725
      0.3625000000      0.0000000000      0.9996398094     -0.0002067610     -0.0017693023     -0.0010708174      0.0002342255     -0.0267558725
      0.3750000000      0.0000000000      0.9996398094     -0.0002067610     -0.0017693023     -0.0010708174      0.0002342255     -0.0267558725
