      0.0000000000      0.0000000000      0.0000000000      0.0000000000      0.0000000000      0.0000000000
      0.0125000000      0.2520589293      0.0000000000      0.0000000000      0.0000000000      0.0000000000
      0.0250000000      0.9955289765      0.0000000000      0.0000000000      0.0000000000      0.0000000000
      0.0375000000      2.1929304887      0.0000000000      0.0000000002      0.0000000000      0.0000000002
      0.0500000000      3.7839003173      0.0000000003      0.0000000070      0.0000000000      0.0000000073
      0.0625000000      5.6882348320      0.0000000040      0.0000000975      0.0000000006      0.0000001021
      0.0750000000      7.8099331291      0.0000000338      0.0000008276      0.0000000100      0.0000008714
      0.0875000000     10.0420366082      0.0000002038      0.0000049876      0.0000000989      0.0000052903
      0.1000000000     12.2720209469      0.0000009544      0.0000233703      0.0000006659      0.0000249905
      0.1125000000     14.3874686522      0.0000036686      0.0000898822      0.0000033243      0.0000968751
      0.1250000000     16.2817362272      0.0000119663      0.0002933344      0.0000130511      0.0003183518
      0.1375000000     17.8593302608      0.0000338252      0.0008295871      0.0000420124      0.0009054247
      0.1500000000     19.0407214202      0.0000840386      0.0020620316      0.0001144056      0.0022604758
      0.1625000000     19.7663536673      0.0001854380      0.0045517969      0.0002700574      0.0050072923
      0.1750000000     19.9996465847      0.0003665580      0.0090004732      0.0005636822      0.0099307135
      0.1875000000     19.7288394598      0.0006542441      0.0160684140      0.0010579024      0.0177805605
      0.2000000000     18.9675841633      0.0010625831      0.0261025132      0.0018110226      0.0289761188
      0.2125000000     17.7542569343      0.0015829385      0.0388910961      0.0028629799      0.0433370146
      0.2250000000     16.1500237653      0.0021809031      0.0535889917      0.0042229195      0.0599928143
      0.2375000000     14.2357569151      0.0028030258      0.0688830102      0.0058600632      0.0775460993
      0.2500000000     12.1079579943      0.0033908747      0.0833376763      0.0076986947      0.0944272457
      0.2625000000      9.8738931465      0.0038961469      0.0957664304      0.0096197029      0.1092822801
      0.2750000000      7.6461855705      0.0042907037      0.1054777856      0.0114730318      0.1212415211
      0.2875000000      5.5371379834      0.0045688729      0.1123313878      0.0131035042      0.1300037648
      0.3000000000      3.6530712406      0.0047432649      0.1166350455      0.0143857519      0.1357640624
      0.3125000000      2.0889645113      0.0048373736      0.1189633203      0.0152567409      0.1390574348
      0.3250000000      0.9236672090      0.0048780451      0.1199734530      0.0157329951      0.1405844933
      0.3375000000      0.2159240518      0.0048896285      0.1202628592      0.0159063206      0.1410588084
      0.3500000000      0.0000000000      0.0048904413      0.1202833538      0.0159221156      0.1410959108
      0.3625000000      0.0000000000      0.0048904413      0.1202833538      0.0159221156      0.1410959108
      0.3750000000      0.0000000000      0.0048904413      0.1202833538      0.0159221156      0.1410959108
