      0.0000000000      0.0000000000      0.0000000000      0.0000000000      0.0000000000      0.0000000000      0.0000000000      0.0000000000
      0.0125000000      0.0252058929     -0.0000000000      0.0000000000     -0.0000000001      0.0000000000      0.0000000000      0.0000000000
      0.0250000000      0.0995528976     -0.0000000025      0.0000000002     -0.0000000124      0.0000000009      0.0000000000      0.0000000000
      0.0375000000      0.2192930489     -0.0000000299      0.0000000027     -0.0000001479      0.0000000127      0.0000000000      0.0000000003
      0.0500000000      0.3783900317     -0.0000001656      0.0000000182     -0.0000008192      0.0000000866     -0.0000000003      0.0000000040
      0.0625000000      0.5688234832     -0.0000006077      0.0000000806     -0.0000030069      0.0000003830     -0.0000000031      0.0000000242
      0.0750000000      0.7809933129     -0.0000017167      0.0000002690     -0.0000084970      0.0000012765     -0.0000000168      0.0000000984
      0.0875000000      1.0042036608     -0.0000040391      0.0000007337     -0.0000199991      0.0000034810     -0.0000000639      0.0000003077
      0.1000000000      1.2272020947     -0.0000082907      0.0000017204     -0.0000410665      0.0000081626     -0.0000001898      0.0000007929
      0.1125000000      1.4387468652     -0.0000152932      0.0000035826     -0.0000757879      0.0000170023     -0.0000004669      0.0000017600
      0.1250000000      1.6281736227     -0.0000258689      0.0000067762     -0.0001282654      0.0000321713     -0.0000009880      0.0000034682
      0.1375000000      1.7859330261     -0.0000407057      0.0000118296     -0.0002019503      0.0000561927     -0.0000018441      0.0000061979
      0.1500000000      1.9040721420     -0.0000602170      0.0000192892     -0.0002989476      0.0000916862     -0.0000030888      0.0000102070
      0.1625000000      1.9766353667     -0.0000844215      0.0000296451     -0.0004194167      0.0001410145     -0.0000046993      0.0000156850
      0.1750000000      1.9999646585     -0.0001128691      0.0000432447     -0.0005611963      0.0002058740     -0.0000065500      0.0000227156
      0.1875000000      1.9728839460     -0.0001446312      0.0000602086     -0.0007197458      0.0002868913     -0.0000084133      0.0000312562
      0.2000000000      1.8967584163     -0.0001783649      0.0000803632     -0.0008884497      0.0003832947     -0.0000099965      0.0000411338
      0.2125000000      1.7754256934     -0.0002124464      0.0001032042     -0.0010592682      0.0004927325     -0.0000110077      0.0000520542
      0.2250000000      1.6150023765     -0.0002451581      0.0001279034     -0.0012236539      0.0006112915     -0.0000112353      0.0000636203
      0.2375000000      1.4235756915     -0.0002749010      0.0001533639     -0.0013735996      0.0007337488     -0.0000106125      0.0000753559
      0.2500000000      1.2107957994     -0.0003003981      0.0001783229     -0.0015026495      0.0008540518     -0.0000092461      0.0000867376
      0.2625000000      0.9873893147     -0.0003208529      0.0002014909     -0.0016066979      0.0009659808     -0.0000073950      0.0000972377
      0.2750000000      0.7646185570     -0.0003360351      0.0002217117     -0.0016844314      0.0010639127     -0.0000054036      0.0001063781
      0.2875000000      0.5537137983     -0.0003462748      0.0002381167     -0.0017373266      0.0011435749     -0.0000036099      0.0001137919
      0.3000000000      0.3653071241     -0.0003523661      0.0002502522     -0.0017691968      0.0012026713     -0.0000022559      0.0001192821
      0.3125000000      0.2088964511     -0.0003553945      0.0002581560     -0.0017853614      0.0012412765     -0.0000014302      0.0001228631
      0.3250000000      0.0923667209     -0.0003565195      0.0002623699     -0.0017915858      0.0012619252     -0.0000010621      0.0001247751
      0.3375000000      0.0215924052     -0.0003567507      0.0002638845     -0.0017929762      0.0012693727     -0.0000009719      0.0001254631
      0.3500000000      0.0000000000     -0.0003567561      0.0002640219     -0.0017930263      0.0012700507     -0.0000009691      0.0001255256
      0.3625000000      0.0000000000     -0.0003567561      0.0002640219     -0.0017930263      0.0012700507     -0.0000009691      0.0001255256
      0.3750000000      0.0000000000     -0.0003567561      0.0002640219     -0.0017930263      0.0012700507     -0.0000009691      0.0001255256
